routenum,eta,distance,route,time
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:44:57 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:45:41 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:46:18 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:47:06 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:47:50 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:48:36 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:49:11 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:49:54 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:50:32 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:51:06 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:51:49 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:52:36 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:53:19 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:54:01 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:54:45 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:55:17 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:55:56 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:56:42 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:57:24 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:58:04 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:58:45 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 00:59:30 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:00:26 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:01:10 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:01:52 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:02:29 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:03:13 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:03:48 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:04:33 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:05:19 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:06:01 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:06:43 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:07:27 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:08:09 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:08:51 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:09:25 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:10:09 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:10:52 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:11:35 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:12:14 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:12:55 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:13:20 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:14:03 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:14:49 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:15:32 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:16:02 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:16:43 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:17:28 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:18:01 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:18:43 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:19:19 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:19:56 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:20:38 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:21:25 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:22:10 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:22:54 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:23:37 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:24:14 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:24:56 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:25:42 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:26:28 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:27:04 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:27:42 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:28:18 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:29:01 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:29:49 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:30:22 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:31:02 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:31:51 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:32:23 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:33:04 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:33:38 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:34:07 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:34:52 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:35:24 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:36:01 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:36:41 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:37:23 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:38:07 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:38:49 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:39:21 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:40:04 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:40:37 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:41:08 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:41:49 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:42:33 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:43:12 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:43:46 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:44:19 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:45:00 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:45:47 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:46:33 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:47:07 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:47:40 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:48:14 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:48:48 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:49:27 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:50:10 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:51:01 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:51:45 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:52:28 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:53:10 2018"
1,"19 min","15.4 miles","I-278 W","Wed Sep 26 01:54:02 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:54:41 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:55:22 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:56:06 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:56:49 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:57:33 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:58:09 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:58:52 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 01:59:27 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:00:10 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:00:47 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:01:20 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:02:01 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:02:44 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:03:19 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:03:49 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:04:29 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:05:14 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:05:58 2018"
1,"17 min","15.4 miles","I-278 W","Wed Sep 26 02:06:38 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:07:12 2018"
1,"17 min","15.4 miles","I-278 W","Wed Sep 26 02:07:58 2018"
1,"17 min","15.4 miles","I-278 W","Wed Sep 26 02:08:32 2018"
1,"17 min","15.4 miles","I-278 W","Wed Sep 26 02:09:05 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:09:47 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:10:26 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:11:00 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:11:34 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:12:19 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:12:57 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:13:43 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:14:27 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:15:08 2018"
1,"17 min","15.4 miles","I-278 W","Wed Sep 26 02:15:42 2018"
1,"17 min","15.4 miles","I-278 W","Wed Sep 26 02:16:20 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:16:57 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:17:43 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:18:17 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:18:57 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:19:39 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:20:13 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:20:57 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:21:32 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:22:17 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:23:02 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:23:32 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:24:11 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:24:47 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:25:25 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:25:59 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:26:33 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:27:16 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:28:05 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:28:52 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:29:27 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:30:13 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:30:51 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:31:32 2018"
1,"18 min","15.4 miles","I-278 W","Wed Sep 26 02:32:13 2018"
1,"30 min","15.4 miles","I-278 W","Wed Sep 26 14:30:18 2018"
1,"30 min","15.4 miles","I-278 W","Wed Sep 26 14:31:10 2018"
1,"31 min","15.4 miles","I-278 W","Wed Sep 26 14:32:18 2018"
1,"31 min","15.4 miles","I-278 W","Wed Sep 26 14:32:56 2018"
1,"32 min","15.4 miles","I-278 W","Wed Sep 26 14:33:18 2018"
1,"32 min","15.4 miles","I-278 W","Wed Sep 26 14:33:40 2018"
1,"32 min","15.4 miles","I-278 W","Wed Sep 26 14:34:10 2018"
1,"32 min","15.4 miles","I-278 W","Wed Sep 26 14:34:33 2018"
1,"33 min","15.4 miles","I-278 W","Wed Sep 26 14:34:55 2018"
1,"33 min","15.4 miles","I-278 W","Wed Sep 26 14:35:26 2018"
1,"33 min","15.4 miles","I-278 W","Wed Sep 26 14:35:50 2018"
1,"34 min","15.4 miles","I-278 W","Wed Sep 26 14:36:22 2018"
1,"33 min","15.4 miles","I-278 W","Wed Sep 26 14:36:52 2018"
1,"33 min","15.4 miles","I-278 W","Wed Sep 26 14:37:18 2018"
1,"34 min","15.4 miles","I-278 W","Wed Sep 26 14:37:41 2018"
1,"35 min","15.4 miles","I-278 W","Wed Sep 26 14:38:09 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:11:50 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:12:13 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:12:46 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:13:09 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:13:33 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:14:09 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:14:30 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:14:53 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:15:19 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:15:51 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:16:30 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:17:01 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:17:21 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:17:55 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:18:24 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:18:54 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:19:18 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:19:56 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:20:23 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:21:00 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:21:27 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:22:00 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:22:25 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:22:52 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:23:26 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:24:06 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:24:38 2018"
1,"23 min","15.4 miles","I-278 W","Thu Sep 27 23:25:03 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:25:28 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:25:52 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:26:27 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:27:04 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:27:32 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:27:58 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:28:31 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:29:02 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:29:32 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:30:03 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:30:36 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:31:09 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:31:33 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:32:02 2018"
1,"22 min","15.4 miles","I-278 W","Thu Sep 27 23:32:36 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:33:07 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:33:32 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:33:55 2018"
1,"20 min","15.4 miles","I-278 W","Thu Sep 27 23:34:23 2018"
1,"20 min","15.4 miles","I-278 W","Thu Sep 27 23:34:40 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:35:13 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:35:39 2018"
1,"20 min","15.4 miles","I-278 W","Thu Sep 27 23:36:06 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:36:35 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:37:00 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:37:36 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:38:02 2018"
1,"20 min","15.4 miles","I-278 W","Thu Sep 27 23:38:26 2018"
1,"20 min","15.4 miles","I-278 W","Thu Sep 27 23:38:56 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:39:21 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:39:49 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:40:13 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:40:46 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:41:25 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:41:50 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:42:17 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:42:50 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:43:20 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:43:45 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:44:13 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:44:44 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:45:16 2018"
1,"21 min","15.4 miles","I-278 W","Thu Sep 27 23:45:33 2018"
